State,Natural Gas-Fired,Coal-Fired,Nuclear,Hydroelectric,Nonhydroelectric Renewables,Petroleum-Fired
Alabama,5284,2961,4090,841,327,0
Alaska,257,83,0,141,0,54
Arizona,6134,1455,2799,533,765,7
Arkansas,1807,2757,1361,334,142,3
California,12108,26,1684,1867,6101,4
Colorado,1772,2404,0,167,1267,1
Connecticut,2340,0,1547,36,89,0
Delaware,489,53,0,0,12,2
DC,14,0,0,0,8,0
Florida,18423,1770,2752,0,1193,16
Georgia,5662,2767,2827,302,970,12
Hawaii,0,107,0,0,154,512
Idaho,467,0,0,878,257,0
Illinois,2440,4770,8645,10,936,4
Indiana,2487,6307,0,20,472,10
Iowa,877,2965,0,73,1774,4
Kansas,336,2583,893,2,1528,3
Kentucky,1461,5232,0,406,40,6
Louisiana,6679,966,1591,110,158,2
Maine,227,6,0,276,340,2
Maryland,1498,788,1263,169,131,7
Massachusetts,1601,0,0,78,297,2
Michigan,3004,3769,2519,136,687,9
Minnesota,1418,1984,1277,85,1054,3
Mississippi,5009,564,1020,0,169,1
Missouri,966,5815,0,199,305,6
Montana,64,1001,0,854,141,0
Nebraska,251,2385,573,115,556,0
Nevada,3093,332,0,197,1057,1
New Hampshire,563,13,927,116,115,1
New Jersey,3533,103,2434,1,230,3
New Mexico,1186,1162,0,0,698,12
New York,6426,0,2468,2494,576,25
North Carolina,5111,2348,3849,491,1292,8
North Dakota,156,2494,0,265,859,1
Ohio,4579,5325,1503,32,267,7
Oklahoma,4148,1400,0,312,1880,4
Oregon,1997,0,0,2114,1159,0
Pennsylvania,12263,3777,6576,273,378,12
Rhode Island,789,0,0,0,63,0
South Carolina,2278,1874,4927,241,426,7
South Dakota,226,260,0,662,619,1
Tennessee,1770,2074,3263,813,100,9
Texas,26684,9918,3668,155,7430,3
Utah,1188,2839,0,75,432,2
Vermont,0,0,0,107,84,0
Virginia,5538,652,2654,125,706,33
Washington,1696,438,846,6022,653,0
West Virginia,275,6541,0,137,82,9
Wisconsin,2365,3097,876,219,234,3
Wyoming,168,3468,0,87,391,3
