State,Coal,Natural Gas - Marketed,Crude Oil,Nuclear Electric Power,Biofuels,Wood and Waste,Noncombustible Renewables
Alabama,350.5,138.4,27.7,455.9,1.5,171.3,105.3
Alaska,14.9,365.3,968.4,0,0,6.8,16
Arizona,82.2,0.1,0,333.3,3,11.4,133.8
Arkansas,0,534.5,26.3,141.8,8.6,85,39.9
California,0,220.8,920.1,168.8,31.4,139.3,968.9
Colorado,270.5,2385.5,1081,0,18.4,18,130.3
Connecticut,0,0,0,174.7,2.4,23.3,11.5
Delaware,0,0,0,0,0,1.5,2.1
DC,0,0,0,0,0,1.1,0.9
Florida,0,1.2,9.7,303.9,0.9,166.9,80.3
Georgia,0,0,0,350.8,16.7,227,57.9
Hawaii,0,0,0,0,0.5,4.9,19.9
Idaho,0,1.1,0.1,0,8.8,37.7,122.6
Illinois,1014.4,2.3,47,1031,214.9,19.1,135.4
Indiana,712.2,5.3,9,0,152.2,36.2,66.4
Iowa,0,0,0,54.7,627.6,20.3,244.2
Kansas,0,212.7,189.1,96.6,75.1,7.7,189.7
Kentucky,853,89.3,14.3,0,10.6,37.4,41.2
Louisiana,21.3,3375.1,261.7,146,0,117.4,16.3
Maine,0,0,0,0,0,94,54.3
Maryland,34.7,0,0,156.8,0,17.7,37.8
Massachusetts,0,0,0,22.7,0.1,33.1,40.9
Michigan,0,90.2,29,343.6,47.2,111.1,74.5
Minnesota,0,0,0,147.3,177.8,65,120.4
Mississippi,28.4,34.3,96.2,115.2,5.8,56.6,4
Missouri,4.2,0,0.5,96,62.6,28,49.1
Montana,608.9,47.7,130.9,0,0,18.1,111.1
Nebraska,0,0.4,10.9,72.6,283.9,5.5,77.8
Nevada,0,0,1.5,0,0,4.1,109.2
New Hampshire,0,0,0,113.9,0.3,37.5,18.1
New Jersey,0,0,0,278.1,0,16.8,32.6
New Mexico,268.3,2087.5,1877.4,0,0,15.3,78.7
New York,0,11.3,1.6,468.5,19.7,96,336.1
North Carolina,0,0,0,437.7,0.2,124,129.8
North Dakota,361.9,1188.3,2956.5,0,79.2,1.9,129.2
Ohio,192.4,2903.8,159.8,177.6,91.6,52.6,28.5
Oklahoma,5.2,3689,1206.9,0,4.1,34.4,293.8
Oregon,0,0.4,0,0,6.5,78.9,340.8
Pennsylvania,1250.9,7296.2,37.4,869.1,19.9,113.4,68.2
Rhode Island,0,0,0,0,0.5,4.2,4.1
South Carolina,0,0,0,585.8,0,112.1,37.8
South Dakota,0,0.5,6.6,0,161.4,3.3,97.2
Tennessee,11.3,2.9,1.1,373,28,58.1,94.5
Texas,308.4,11224.1,10545.4,431.2,67.8,86.4,808.6
Utah,326,299.6,209.1,0,0,5.9,42.3
Vermont,0,0,0,0,0,22.9,18.1
Virginia,320.3,111.9,0,308,0.8,116.4,25.4
Washington,0,0,0,92.6,9.8,118.4,650.8
West Virginia,2422.2,2598.7,95.7,0,0,12,29.9
Wisconsin,0,0,0,104.7,87.5,101.1,42.3
Wyoming,4828.5,1653.9,581.8,0,0,5,48.3
