YEAR,PSTATABB,FIPSST,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,NRETotal,RETotal
2004,AK,2,648426.8,747619.3,3623430.8,0,1498018.9,9215.4,0,0,0,5019476.9,1507234.3
2004,AL,1,74764188.7,206818.2,15987626.4,31635789,10626220.4,3898269,0,0,0,90958633.3,46160278.4
2004,AR,5,25355532.1,488952,4951390.6,15449851,3668183.7,1911259.1,0,0,0,30795874.7,21029293.8
2004,AZ,4,39813867.4,40515.9,23962745.5,28112609,6919706.7,43997.6,0,4264.9,0,63817128.8,35080578.2
2004,CA,6,2244354.6,2243538.1,99694445.5,30267887,33311473.7,6022891.4,4289254.2,570890,12027030,104182338.2,86489426.3
2004,CO,8,35848460.6,13707.5,10745340,0,1002862.1,34979.9,220140.9,0,0,46607508.1,1257982.9
2004,CT,9,4256431.1,1674503.1,8108839.7,16539097,462936.5,955073.9,0,0,0,14039773.9,17957107.4
2004,DC,11,0,36487,0,0,0,0,0,0,0,36487,0
2004,DE,10,4750119.6,721189.6,1669061.4,0,0,0,0,0,0,7140370.6,0
2004,FL,12,61982539.9,37229243.5,76624772.8,31215576,265258,5144532.2,0,0,0,175836556.2,36625366.2
2004,GA,13,79988291.2,834946.8,6106699.5,33747705,2811924.8,3178985.2,0,0,0,86929937.5,39738615
2004,HI,15,1609992.2,8826174.6,125081.4,0,93900.4,377413.2,7495,0,213288,10561248.2,692096.6
2004,IA,19,35272283.6,108559.2,824669.6,4928948,945958.9,109888.5,1041928.1,0,0,36205512.4,7026723.5
2004,ID,16,100099.4,136,1710292.5,0,8333023.5,573736.1,0,0,0,1810527.9,8906759.6
2004,IL,17,94460597.5,749381.6,3373829.8,92047323,153528.8,579424.8,78073,0,0,98583808.9,92858349.6
2004,IN,18,120568483.3,425840,2114357.7,0,443720.8,143473.9,0,0,0,123108681,587194.7
2004,KS,20,34591712.3,855373.6,831652.3,10132736,12547,0,356879,0,0,36278738.2,10502162
2004,KY,21,86120511,3621099,580929.6,0,3780251,411628.2,0,0,0,90322539.6,4191879.2
2004,LA,22,23652957.7,4150173.4,40660949,17079981,1098825,2989825.9,0,0,0,68464080.1,21168631.9
2004,MA,25,10526488,7481565.1,20475811,5938600,444122.6,1490137.3,0,0,0,38483864.1,7872859.9
2004,MD,24,29215529,3295912.4,1183004.7,14580260,2507521,665201.4,0,0,0,33694446.1,17752982.4
2004,ME,23,358395.2,1282412.2,9826263.2,0,3317085.1,3822222,0,0,0,11467070.6,7139307.1
2004,MI,26,68621711.6,893499.1,14997829.8,30561961,421396.4,2600409.5,1875,0,0,84513040.5,33585641.9
2004,MN,27,34016006.1,780322.7,1470484,13295502,721987.7,1167993.4,791059.4,0,0,36266812.8,15976542.5
2004,MO,29,74980081.2,198727.5,2880127,7830693,1187131.8,35263.7,0,0,0,78058935.7,9053088.5
2004,MS,28,17090076.1,3150722.3,8255464.8,10232766,0,1567492.4,0,0,0,28496263.2,11800258.4
2004,MT,30,17398896.9,419266.3,32126.8,0,8849903.4,59949.6,0,0,0,17850290,8909853
2004,NC,37,75496412.6,570866.8,2496267.1,40090623,5504826.2,1750054.8,0,0,0,78563546.5,47345504
2004,ND,38,29468989.5,39217.5,6749.6,0,1545864,5602.7,214523,0,0,29514956.6,1765989.7
2004,NE,31,20457085,21854.6,297541.9,10241254,913020.5,39517,38430.8,0,0,20776481.5,11232222.3
2004,NH,33,4076075,1944398.2,5400409.2,10177573,1315754.8,936705.8,0,0,0,11420882.4,12430033.6
2004,NJ,34,10301077.3,1390097.5,15867199,27081566,-249735.9,912835.5,0,0,0,27558373.8,27744665.6
2004,NM,35,29263899,31375.7,2992673.2,0,138946.8,0,513465,0,0,32287947.9,652411.8
2004,NV,32,18257265,95766.2,16386203.7,0,1605203,0,0,0,1193004.6,34739234.9,2798207.6
2004,NY,36,22853895.8,21114688.1,26872911.4,40640305,23162225.2,2087617.9,97652,0,0,70841495.3,65987800.1
2004,OH,39,128232694.8,1388880.2,1383845.6,15950121,457856.8,371040.1,0,0,0,131005420.6,16779017.9
2004,OK,40,33802375.5,62311.1,23202777.9,0,2742796.6,249348,572744,0,0,57067464.5,3564888.6
2004,OR,41,3555661.2,62938.5,13480545.7,0,33050847,729582.8,619011.9,0,0,17099145.4,34399441.7
2004,PA,42,117196701.4,4127000.5,9830535.3,77458632,2462936.3,2224003.8,306311.7,0,0,131154237.2,82451883.8
2004,RI,44,0,48745.1,4783687,0,5461,0,0,0,0,4832432.1,5461
2004,SC,45,38910841.5,906031.2,3794136.7,51200640,1274755.5,1675442,0,0,0,43611009.4,54150837.5
2004,SD,46,3620000.9,22771,112254.8,0,3597509,0,157678,0,0,3755026.7,3755187
2004,TN,47,58309600.9,190356.6,292084,28612271,9590286,579833.3,3813,0,0,58792041.5,38786203.3
2004,TX,48,146721096,2310547.2,180057380.5,40435372,1300607.8,1226823.6,3137690,0,0,329089023.7,46100493.4
2004,UT,49,36617853.9,32566.7,909849.7,0,449846.5,4887.4,0,0,194876,37560270.3,649609.9
2004,VA,51,35350395.4,3896348.5,5447438.6,28315294,416938.3,2620642.5,0,0,0,44694182.5,31352874.8
2004,VT,50,0,17799.8,3224,3858020,1187254,392714.2,11364,0,0,21023.8,5449352.2
2004,WA,53,10413457.5,81352.7,8462089.8,8981583,71550248.5,1605126.1,152537,0,0,18956900,82289494.6
2004,WI,55,42156327.8,751974.4,2394741.9,11887849,1980673.7,1172181.8,103563,0,0,45303044.1,15144267.5
2004,WV,54,87588841.2,267615.2,252767.7,0,1590297.6,2071,161191,0,0,88109224.1,1753559.6
2004,WY,56,43345718,45612.9,86355.4,0,593146.2,0,616515,0,0,43477686.3,1209661.2
2005,AK,2,"623,129.70","760,114.60","3,723,625.10",0,"1,463,940.80","5,254.00",588.9,0,0,5106869.4,1469783.7
2005,AL,1,"78,070,315.50","199,465.80","13,864,459.20","31,694,223.00","10,144,580.40","3,220,285.70",0,0,0,92134240.5,45059089.1
2005,AR,5,"23,037,139.30","206,674.40","6,007,923.50","13,689,571.00","3,103,217.70","1,734,688.80",0,0,0,29251737.2,18527477.5
2005,AZ,4,"40,143,310.00","43,207.60","28,893,266.30","25,807,446.00","6,504,710.70","60,413.40",0,"13,581.00",0,69079783.9,32386151.1
2005,CA,6,"1,965,787.50","2,576,183.80","93,376,233.50","36,154,898.00","39,751,649.60","5,814,174.80","4,259,490.60","536,713.30","13,022,636.40",97918204.8,99539562.7
2005,CO,8,"35,570,134.70","17,045.80","11,941,213.30",0,"1,293,231.50","34,326.50","776,233.90",0,0,47528393.8,2103791.9
2005,CT,9,"3,996,491.60","3,156,046.80","8,865,252.20","15,562,122.00","476,545.30","710,947.30",0,0,0,16017790.6,16749614.6
2005,DC,11,0,"226,042.00",0,0,0,0,0,0,0,226042,0
2005,DE,10,"4,832,947.60","1,216,422.50","1,590,760.50",0,0,0,0,0,0,7640130.6,0
2005,FL,12,"62,502,865.90","37,210,372.50","83,657,065.90","28,758,826.00","266,158.90","4,331,132.80",0,0,0,183370304.3,33356117.7
2005,GA,13,"87,235,508.70","1,006,253.40","9,773,531.20","31,534,259.00","3,820,289.90","3,196,376.30",0,0,0,98015293.3,38550925.2
2005,HI,15,"1,631,249.80","9,076,425.20",0,0,"96,187.60","301,112.60","6,632.00",0,"221,597.00",10707675,625529.2
2005,IA,19,"34,083,456.10","149,531.80","2,480,701.80","4,538,313.00","959,525.80","115,974.90","1,647,133.90",0,0,36713689.7,7260947.6
2005,ID,16,"95,181.30",4.9,"1,550,167.10",0,"8,542,117.50","577,039.90",0,0,0,1645353.3,9119157.4
2005,IL,17,"92,264,271.00","326,021.90","7,110,426.10","93,263,001.00","129,036.70","684,618.30","141,146.00",0,0,99700719,94217802
2005,IN,18,"122,796,431.70","264,294.50","3,596,430.70",0,"438,281.80","66,467.60",0,0,0,126657156.9,504749.4
2005,KS,20,"34,480,731.00","986,405.40","1,137,448.30","8,820,945.00","11,337.00",0,"425,823.00",0,0,36604584.7,9258105
2005,KY,21,"89,083,112.90","3,680,684.80","1,658,070.10",0,"2,961,192.90","422,384.60",0,0,0,94421867.8,3383577.5
2005,LA,22,"23,070,342.20","3,485,935.00","43,831,966.60","15,676,353.00","810,948.00","2,675,958.80",0,0,0,70388243.8,19163259.8
2005,MA,25,"12,033,546.30","7,116,493.30","20,276,564.50","5,475,057.00","562,470.70","1,200,506.50",0,0,0,39426604.1,7238034.2
2005,MD,24,"29,313,921.70","3,817,583.40","1,891,637.20","14,703,221.00","1,703,638.90","549,877.40",0,0,0,35023142.3,16956737.3
2005,ME,23,"322,358.80","1,514,879.50","7,486,758.80",0,"4,090,923.70","3,854,345.00",0,0,0,9323997.1,7945268.7
2005,MI,26,"70,345,629.20","897,870.90","13,631,563.80","32,871,574.00","350,594.80","2,537,053.10","1,848.00",0,0,84875063.9,35761069.9
2005,MN,27,"32,863,117.60","783,342.00","2,721,784.90","12,835,219.00","774,727.40","1,000,846.10","1,582,474.70",0,0,36368244.5,16193267.2
2005,MO,29,"77,437,142.00","168,415.30","3,896,751.90","8,030,577.00","1,245,257.80","9,249.10",0,0,0,81502309.2,9285083.9
2005,MS,28,"16,635,888.20","1,436,374.50","15,336,760.30","10,077,846.00",0,"1,568,314.10",0,0,0,33409023,11646160.1
2005,MT,30,"17,823,338.80","413,990.70","36,066.80",0,"9,587,348.50","65,244.50",0,0,0,18273396.3,9652593
2005,NC,37,"78,450,733.50","485,077.50","3,129,478.40","39,981,739.00","5,543,005.60","1,836,909.10",0,0,0,82065289.4,47361653.7
2005,ND,38,"30,258,758.70","34,207.10","9,096.80",0,"1,341,824.00","9,989.00","220,345.00",0,0,30302062.6,1572158
2005,NE,31,"20,818,171.10","31,227.30","803,464.20","8,801,841.00","871,472.50","42,645.70","96,607.80",0,0,21652862.6,9812567
2005,NH,33,"4,072,987.00","1,357,141.70","6,784,734.80","9,455,885.00","1,743,321.30","937,513.50",0,0,0,12214863.5,12136719.8
2005,NJ,34,"11,625,410.10","1,095,267.20","15,268,146.10","31,391,685.00","-251,594.60","838,527.80",0,0,0,27988823.4,31978618.2
2005,NM,35,"29,947,248.00","36,908.90","4,187,217.10",0,"164,992.80","4,644.00","794,629.90",0,0,34171374,964266.7
2005,NV,32,"18,384,261.00","44,518.40","19,414,895.10",0,"1,702,379.80",0,0,0,"1,262,706.40",37843674.5,2965086.2
2005,NY,36,"20,364,683.00","24,027,886.90","33,262,547.00","42,443,152.00","25,001,779.70","1,831,787.00","102,989.90",0,0,77655116.9,69379708.6
2005,OH,39,"136,866,192.70","1,390,647.20","2,694,227.90","14,802,733.00","515,743.80","385,819.00","13,268.00",0,0,140951067.8,15717563.8
2005,OK,40,"36,349,432.50","70,332.50","30,225,068.40",0,"2,476,535.70","289,217.00","847,773.00",0,0,66644833.4,3613525.7
2005,OR,41,"3,466,711.20","59,253.80","13,389,391.00",0,"30,948,342.60","877,825.70","734,273.90",0,0,16915356,32560442.2
2005,PA,42,"120,863,987.90","4,957,734.10","10,811,444.40","76,289,432.00","1,514,826.30","1,992,045.40","284,240.90",0,0,136633166.4,80080544.6
2005,RI,44,0,"55,813.70","5,990,745.70",0,"6,734.00",0,0,0,0,6046559.4,6734
2005,SC,45,"39,676,795.30","672,802.10","5,412,551.20","53,137,554.00","1,739,470.80","1,782,646.70",0,0,0,45762148.6,56659671.5
2005,SD,46,"2,996,347.00","20,784.60","270,945.90",0,"3,074,566.00",0,"158,104.00",0,0,3288077.5,3232670
2005,TN,47,"59,181,335.00","230,517.20","532,019.50","27,803,108.00","8,711,605.90","557,424.50","3,339.00",0,0,59943871.7,37075477.4
2005,TX,48,"148,358,023.00","2,273,932.20","195,680,121.80","38,232,493.00","1,332,559.00","1,097,199.20","4,237,208.80",0,0,346312077,44899460
2005,UT,49,"35,970,404.80","40,908.60","1,177,500.40",0,"784,461.40",0,0,0,"184,802.00",37188813.8,969263.4
2005,VA,51,"35,397,029.70","4,236,683.50","8,223,519.70","27,918,481.00","63,529.00","2,456,558.80",0,0,0,47857232.9,30438568.8
2005,VT,50,0,"10,178.60","2,240.00","4,071,547.00","1,210,809.20","410,491.10","11,486.00",0,0,12418.6,5704333.3
